Speaker,Dialog,CameraSpeed,CameraPositionX,CameraPositionY,CameraPositionZ,CameraRotationX,CameraRotationY,CameraRotationZ
카일,"(붉은 영혼들은 어디로 가는걸까 했는데, 이런 곳이 있을 줄이야.)",,,,,,,
상황,[웬디고 등장],,,,,,,
카일,순록의 머리뼈…? 잠깐. 디아블루스가 아니군.,,,,,,,
웬디고,인간들은 우리를 웬디고라고 부르지.,,,,,,,
웬디고,디어블루스처럼 신의 전령이 되지 못해 그들이 데려가지 않는 영혼들을 먹으며 살아간다.,,,,,,,
카일,붉은 영혼까지도 잡아먹는건가?,,,,,,,
웬디고,우리는 그저 그들에게 버림받은 영혼들에게 안식을 줄 뿐이다. 디아블루스가 하지 않는 방식으로...,,,,,,,
웬디고,"빛이 아닌, 영원한 어둠으로의 회귀 말이다.",,,,,,,
카일,(디아블루스는 내가 갖다바친 붉은 영혼을 모두 푸른 빛으로 원상복구시켰었다.),,,,,,,
카일,"(붉은 영혼은 분명 구원받을 수 있는거야. 하지만, 나나 저 괴물은…)",,,,,,,
카일,불쌍한 괴물 녀석. 그렇다면 너를 어둠으로 인도하는 것은 누구지?,,,,,,,
카일,네 원죄는 누가 사하느냔 말이다.,,,,,,,
웬디고,나는 디아블루스의 대척점에 서있는 존재다. 그 질문은 신의 죄는 누가 사하는가와 다를 바가 없는 질문이지.,,,,,,,
웬디고,보아하니 당신도 이 원혼들과 크게 다르지 않은 처지인 듯 한데…,,,,,,,
웬디고,"오너라, 네게 영원한 안식을 주겠다!",,,,,,,
